Misc,Computers,Sound,Stem_Cell,Nature,Cancer,Relationships,Brain,Space,DNA,Economy,Robots
0.0,0.02510597185704923,0.0006984032227374907,0.0,0.0679854908706309,0.0,0.013714452186353197,0.0,0.0,0.0,0.07626549561208394,0.0
0.0,0.025387827903472757,0.0,0.010132015265759202,0.04729274958512218,0.007368237834162956,0.0,0.0,0.0,0.0,0.06959609526806002,0.0027184313025477203
0.0,0.001014641399035593,6.561652926613731e-05,0.0036910542566005937,0.0,0.0027493967987236934,0.015100682646338527,0.0021418891941071237,0.0076852840274068985,0.0,0.18110348214168254,0.0011085954358495194
0.0,0.04820377234538499,0.0,0.003024267020708131,0.01998816657519637,0.0,0.004900425786274898,0.0,0.0335789854150248,0.0,0.048080974545481,0.021557188243269583
0.0,0.07705957808770075,0.0,0.00876161446010216,0.016744963078586864,0.0,0.028860910780417533,0.0,0.0,0.0,0.000855014930249606,0.0
0.0,0.0,0.0,0.0030155168480283105,0.0344730322480608,0.0,0.0,0.0,0.0052133291774361,0.33885700386231987,0.0,0.0016639893813272702
0.0,0.10846050621572849,0.028653715446766946,0.002513060235438523,0.0,0.0,0.006838222764597589,0.0,0.0,0.009170171106210639,0.006092168202853606,0.0
0.0,0.05090796137413838,0.0,0.0,0.02652960198707252,0.00542134180808044,0.029379328046299034,0.0,0.0,0.0,0.03350569590396021,0.0
0.0,0.03914636041927792,0.0,0.004043223347764276,0.060192426524175134,0.0,0.0,0.0,0.0,0.0,0.08005028490383208,0.005299951566963523
0.0,0.0,0.0,0.0026083427694994043,0.000993059372167863,0.11511251493297348,0.0,0.0011405579009831437,0.0,0.0122068770358556,0.041135501790781695,0.0
2.790449380209339e-06,0.015583088606137361,0.00012488168742996834,0.0,0.0893442676920087,0.0,0.05446325738224474,0.023709147599802638,0.0,0.040224828247542144,0.02854818436398598,0.002846982826698482
0.0,0.0,0.0,0.15695204950532787,0.0,0.2267999372357198,0.0,0.009883338322934896,0.0,0.0,0.0,0.0
0.0,0.06294108360048606,0.003531056836930724,0.0,0.018586863601278116,0.0,0.03561090781361737,0.0,0.010332414208306035,0.0,0.0,0.0
0.0,0.08976902147781131,0.00844814792742532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.07296765002679259,0.19472967255395174,0.0,0.006381472478722493,0.020182615457447695,0.0
0.0,0.047856599053695346,0.0,0.06794166614970164,0.05484758885294694,0.002034729544391895,0.0,0.0,0.020734468190207318,0.06998749424412941,0.0023396741812163288,0.0031727230774269517
6.194172055550138e-06,0.03116661327560501,0.0004899479561299477,0.008841382787851597,0.014994140607539726,0.0,0.0051362306664533685,0.005783345415431973,0.057936739977493344,0.12068174246200203,0.010339094105864718,0.005112823045743659
4.4469491247469455e-06,0.019470720105788975,0.00022020842839459674,0.0,0.006274326254863695,0.03784625414020066,0.01808383211197084,0.0001733100794848658,0.007455714366282589,0.0,0.006294508698581327,0.0
0.0,0.047475651218698046,0.013345325684724288,0.0,0.0,0.009932201128447308,0.05392949755194733,0.0,0.0,5.636581982464311e-06,0.0,0.0
0.0,0.02749877117128819,0.08302378976821337,0.0,0.009488211614790265,0.0,0.026599996741454898,0.017211292914953834,0.07509682604376475,0.00725433745211351,0.0,0.0013372258233250397
6.91087343529702e-06,0.011599365053590572,0.037689946824865476,0.0,0.025667781860139256,0.0,0.07180975687630264,0.0,0.0,0.0,0.027602305541621745,0.0016294749410386206
0.32555267521375164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.216761937194115e-05,0.09989637556296213,0.10832844519400464,0.008215476272971079,0.0,0.0,0.0,0.0,0.0,0.00190771224842727,0.011194777901361315,0.0
9.649059105508746e-06,0.059804626188243636,0.02565912788638914,0.0,0.0,0.0,0.012041270686583979,0.0,0.0,0.00018404821864844857,0.0,0.0
2.6655651202145984e-06,0.08580299846542037,0.0007128241390759072,0.01872437782896016,0.026257030372278587,0.0,0.004478473519099023,0.0,0.015529538011280573,0.01725370439248611,0.02035654765232953,0.0
0.0,0.057526727669475426,0.014608073472299745,0.0018060963380483034,0.010443699943282397,0.0034509222802206157,0.02091943878050002,0.0,0.0,0.0,0.03547100066233925,0.0
0.0,0.0065008116652711815,0.0,0.000931809756004819,0.0,0.00527056332057703,0.03833399167279917,0.0017910346081825713,0.0009259392494642452,0.0,0.03017205922233993,0.0
0.0,0.03637510356635392,0.0,0.0014773524023556763,0.0012541100172494704,0.026368827585897446,0.015245336832346842,0.0014052192930320017,0.0,0.0,0.009812368928622991,0.0
